# hrg.pl with 0 < pdg_mass < 2500
# T(MeV)   e/T^4    p/T^4     Cs2 
# T(GeV)   (e-3p)/T^4  e/T^4    p/T^4     Cs2 
# ------   ----------  --------  -----    -----
  5.000    0.0000    0.0000    0.0000    0.2500
  10.000    0.0001    0.0004    0.0001    0.2000
  15.000    0.0052    0.0105    0.0018    0.1698
  20.000    0.0253    0.0496    0.0081    0.1630
  25.000    0.0582    0.1175    0.0198    0.1691
  30.000    0.0939    0.2001    0.0354    0.1804
  35.000    0.1251    0.2849    0.0533    0.1931
  40.000    0.1493    0.3652    0.0719    0.2055
  45.000    0.1670    0.4385    0.0905    0.2165
  50.000    0.1798    0.5053    0.1085    0.2257
  55.000    0.1897    0.5669    0.1257    0.2328
  60.000    0.1985    0.6253    0.1423    0.2377
  65.000    0.2079    0.6826    0.1583    0.2404
  70.000    0.2192    0.7409    0.1739    0.2410
  75.000    0.2337    0.8021    0.1895    0.2398
  80.000    0.2524    0.8682    0.2053    0.2369
  85.000    0.2766    0.9412    0.2215    0.2326
  90.000    0.3073    1.0231    0.2386    0.2273
  95.000    0.3456    1.1160    0.2568    0.2213
  100.000    0.3929    1.2223    0.2764    0.2148
  105.000    0.4506    1.3443    0.2979    0.2080
  110.000    0.5201    1.4847    0.3215    0.2013
  115.000    0.6030    1.6462    0.3478    0.1948
  120.000    0.7009    1.8318    0.3770    0.1887
  125.000    0.8158    2.0446    0.4096    0.1830
  130.000    0.9492    2.2875    0.4461    0.1778
  135.000    1.1031    2.5640    0.4870    0.1731
  140.000    1.2792    2.8772    0.5327    0.1690
  145.000    1.4793    3.2303    0.5837    0.1655
  150.000    1.7050    3.6265    0.6405    0.1624
  155.000    1.9578    4.0687    0.7036    0.1598
  160.000    2.2391    4.5599    0.7736    0.1576
  165.000    2.5500    5.1027    0.8509    0.1558
  170.000    2.8916    5.6995    0.9359    0.1544
  175.000    3.2648    6.3524    1.0292    0.1533
  180.000    3.6700    7.0635    1.1312    0.1525
  185.000    4.1077    7.8342    1.2422    0.1519
  190.000    4.5780    8.6659    1.3627    0.1515
  195.000    5.0808    9.5595    1.4929    0.1514
  200.000    5.6158    10.5158    1.6333    0.1514
